sepallength,sepalwidth,petallength,petalwidth,class
'\'(6.1-7]\'','\'(3.2-3.8]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-versicolor
'\'(-inf-5.2]\'','\'(-inf-2.6]\'','\'(2.475-3.95]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(-inf-5.2]\'','\'(2.6-3.2]\'','\'(2.475-3.95]\'','\'(1.3-1.9]\'',Iris-versicolor
'\'(-inf-5.2]\'','\'(-inf-2.6]\'','\'(2.475-3.95]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(-inf-2.6]\'','\'(3.95-5.425]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(2.475-3.95]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(6.1-7]\'','\'(-inf-2.6]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(-inf-2.6]\'','\'(2.475-3.95]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(6.1-7]\'','\'(-inf-2.6]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-versicolor
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-versicolor
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(-inf-2.6]\'','\'(2.475-3.95]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(-inf-2.6]\'','\'(2.475-3.95]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(-inf-2.6]\'','\'(2.475-3.95]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(2.475-3.95]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(3.2-3.8]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-versicolor
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-versicolor
'\'(6.1-7]\'','\'(-inf-2.6]\'','\'(3.95-5.425]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(-inf-2.6]\'','\'(3.95-5.425]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(-inf-2.6]\'','\'(3.95-5.425]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(-inf-2.6]\'','\'(3.95-5.425]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(-inf-5.2]\'','\'(-inf-2.6]\'','\'(2.475-3.95]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(-inf-5.2]\'','\'(-inf-2.6]\'','\'(2.475-3.95]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(6.1-7]\'','\'(3.2-3.8]\'','\'(5.425-inf)\'','\'(1.9-inf)\'',Iris-virginica
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-virginica
'\'(7-inf)\'','\'(2.6-3.2]\'','\'(5.425-inf)\'','\'(1.9-inf)\'',Iris-virginica
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(5.425-inf)\'','\'(1.3-1.9]\'',Iris-virginica
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(5.425-inf)\'','\'(1.9-inf)\'',Iris-virginica
'\'(7-inf)\'','\'(2.6-3.2]\'','\'(5.425-inf)\'','\'(1.9-inf)\'',Iris-virginica
'\'(-inf-5.2]\'','\'(-inf-2.6]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-virginica
'\'(7-inf)\'','\'(2.6-3.2]\'','\'(5.425-inf)\'','\'(1.3-1.9]\'',Iris-virginica
'\'(6.1-7]\'','\'(-inf-2.6]\'','\'(5.425-inf)\'','\'(1.3-1.9]\'',Iris-virginica
'\'(7-inf)\'','\'(3.2-3.8]\'','\'(5.425-inf)\'','\'(1.9-inf)\'',Iris-virginica
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.9-inf)\'',Iris-virginica
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-virginica
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(5.425-inf)\'','\'(1.9-inf)\'',Iris-virginica
'\'(5.2-6.1]\'','\'(-inf-2.6]\'','\'(3.95-5.425]\'','\'(1.9-inf)\'',Iris-virginica
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.9-inf)\'',Iris-virginica
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.9-inf)\'',Iris-virginica
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(5.425-inf)\'','\'(1.3-1.9]\'',Iris-virginica
'\'(7-inf)\'','\'(3.2-3.8]\'','\'(5.425-inf)\'','\'(1.9-inf)\'',Iris-virginica
'\'(7-inf)\'','\'(-inf-2.6]\'','\'(5.425-inf)\'','\'(1.9-inf)\'',Iris-virginica
'\'(5.2-6.1]\'','\'(-inf-2.6]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-virginica
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(5.425-inf)\'','\'(1.9-inf)\'',Iris-virginica
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.9-inf)\'',Iris-virginica
'\'(7-inf)\'','\'(2.6-3.2]\'','\'(5.425-inf)\'','\'(1.9-inf)\'',Iris-virginica
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-virginica
'\'(6.1-7]\'','\'(3.2-3.8]\'','\'(5.425-inf)\'','\'(1.9-inf)\'',Iris-virginica
'\'(7-inf)\'','\'(2.6-3.2]\'','\'(5.425-inf)\'','\'(1.3-1.9]\'',Iris-virginica
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-virginica
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-virginica
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(5.425-inf)\'','\'(1.9-inf)\'',Iris-virginica
'\'(7-inf)\'','\'(2.6-3.2]\'','\'(5.425-inf)\'','\'(1.3-1.9]\'',Iris-virginica
'\'(7-inf)\'','\'(2.6-3.2]\'','\'(5.425-inf)\'','\'(1.3-1.9]\'',Iris-virginica
'\'(7-inf)\'','\'(3.2-3.8]\'','\'(5.425-inf)\'','\'(1.9-inf)\'',Iris-virginica
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(5.425-inf)\'','\'(1.9-inf)\'',Iris-virginica
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-virginica
'\'(5.2-6.1]\'','\'(-inf-2.6]\'','\'(5.425-inf)\'','\'(1.3-1.9]\'',Iris-virginica
'\'(7-inf)\'','\'(2.6-3.2]\'','\'(5.425-inf)\'','\'(1.9-inf)\'',Iris-virginica
'\'(6.1-7]\'','\'(3.2-3.8]\'','\'(5.425-inf)\'','\'(1.9-inf)\'',Iris-virginica
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(5.425-inf)\'','\'(1.3-1.9]\'',Iris-virginica
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-virginica
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.9-inf)\'',Iris-virginica
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(5.425-inf)\'','\'(1.9-inf)\'',Iris-virginica
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.9-inf)\'',Iris-virginica
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-virginica
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(5.425-inf)\'','\'(1.9-inf)\'',Iris-virginica
'\'(6.1-7]\'','\'(3.2-3.8]\'','\'(5.425-inf)\'','\'(1.9-inf)\'',Iris-virginica
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.9-inf)\'',Iris-virginica
'\'(6.1-7]\'','\'(-inf-2.6]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-virginica
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.9-inf)\'',Iris-virginica
'\'(6.1-7]\'','\'(3.2-3.8]\'','\'(3.95-5.425]\'','\'(1.9-inf)\'',Iris-virginica
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-virginica
